α,κ,δ,β,NE_found
0.9815,0.5177,0.6023,11.012158714012413,true
0.2445,0.6931,0.0599,26.232523607950856,true
0.0385,0.6931,0.5309,2.275045381235993,true
0.0847,0.3414,0.2364,4.773119144999637,true
0.4785,0.1162,0.9379,29.874342450967646,true
0.8615,0.0538,0.2432,4.410552654112862,true
0.4376,0.1357,0.3715,41.888025563102715,true
0.0687,0.8005,0.4541,1.1331484530668263,true
0.4694,0.0804,0.3575,50.55187314137339,false
0.0424,0.2643,0.3497,13.804574186067095,true
0.9505,0.6457,0.3222,1.7040367583907279,true
0.2953,0.3985,0.5841,1.134282168283025,true
0.233,0.0488,0.7906,5.941727999051595,true
0.6559,0.0457,0.1952,2.9417363433635764,true
0.069,0.3239,0.0362,1.862649618265929,true
0.5673,0.5562,0.4436,20.6972325893895,false
0.4615,0.0083,0.2996,23.28943909281079,true
0.9174,0.2928,0.4055,4.962948401916101,true
0.7321,0.2923,0.1817,2.526917043979558,true
0.1143,0.4418,0.7993,13.263289089968042,false
0.381,0.6921,0.5336,17.67232753380118,true
0.7911,0.746,0.7446,1.2930451267593537,true
0.7027,0.5841,0.104,1.3702593109569967,true
0.0782,0.2619,0.2527,17.778680238058843,true
0.0289,0.9269,0.0763,5.888492366745541,true
0.9435,0.5953,0.8768,1.5698812820932024,true
0.4521,0.1206,0.0391,3.546637600982122,true
0.0843,0.7321,0.2893,9.669726251346345,true
0.0839,0.5995,0.8555,25.053160819751636,true
0.2213,0.3362,0.0404,9.290570861787552,true
0.8956,0.1084,0.3011,32.13674244475316,true
0.2486,0.2931,0.3185,1.2943388186242377,true
0.1513,0.819,0.2825,6.645899181393959,true
0.1468,0.6461,0.1742,12.717767099367087,true
0.8169,0.2731,0.9629,1.9997056605411638,true
0.6129,0.518,0.5013,3.8037978429971537,false
0.666,0.8248,0.2677,8.364528775692749,true
0.9301,0.4087,0.3044,4.830741618110278,true
0.2067,0.9485,0.8342,1.1996141938798683,true
0.6927,0.7091,0.9566,1.3826473071194796,true
0.3012,0.5677,0.9213,11.21217229273568,false
0.2832,0.4537,0.7413,2.254661836345618,true
0.279,0.2362,0.0639,16.39538675774879,true
0.1087,0.3931,0.1916,1.4134026158176771,true
0.9435,0.6785,0.9713,14.239218160254303,false
0.2784,0.4077,0.3173,7.300917316103302,true
0.2929,0.0429,0.9307,4.768348411618889,false
0.8006,0.9174,0.2473,6.391698250620899,true
0.1881,0.6842,0.0009,5.264572785823539,true
0.4636,0.3278,0.5873,40.650047316878776,true
0.0407,0.3136,0.3302,40.24557258797164,false
0.9931,0.8922,0.0062,12.243558965801025,false
0.984,0.6661,0.6727,6.147220325184242,false
0.4889,0.2406,0.4334,16.42821034390925,true
0.4886,0.4686,0.466,37.300248916794146,true
0.9675,0.0788,0.0759,40.85380652699027,false
0.8759,0.0035,0.7638,2.575387478802513,true
0.8976,0.3113,0.1184,29.636301146131522,true
0.1087,0.2043,0.2296,2.344330828044636,true
0.7213,0.0822,0.7195,13.289842212419392,true
0.3169,0.1544,0.5259,2.5294452249033177,true
0.3927,0.1199,0.1279,1.6887692344784637,true
0.7278,0.0903,0.7096,1.552707218511336,true
0.6685,0.7046,0.0842,7.028687580589293,true
0.3434,0.3034,0.7704,13.263289089968042,false
0.4817,0.3802,0.1366,3.441818618988296,true
0.754,0.935,0.9082,38.59026335644237,false
0.8373,0.4774,0.4834,41.84615847457281,true
0.1042,0.4588,0.9813,6.494787940915851,true
0.7957,0.7813,0.8851,30.14442508180986,true
0.5773,0.785,0.597,26.153943965525364,true
0.1655,0.6116,0.0258,2.789883950038779,true
0.325,0.5493,0.6501,39.567180524380156,true
0.3513,0.2307,0.1432,4.9381955934959,true
0.0209,0.7093,0.8673,38.90022365135374,true
0.7586,0.3806,0.316,26.52267427060296,true
0.3529,0.739,0.3731,1.6769891283107623,true
0.8623,0.9042,0.5371,10.084504118560417,false
0.327,0.8427,0.6944,13.680890430158307,true
0.9161,0.2187,0.8489,6.965713202143477,true
0.8796,0.9021,0.5096,1.0120722888660778,true
0.706,0.6652,0.7112,39.33048822819889,true
0.3528,0.3517,0.9665,52.45732594909905,false
0.6441,0.7379,0.8621,20.800977899475697,true
0.5195,0.1739,0.9173,6.800526257524684,false
0.2668,0.2998,0.287,1.1252441113673424,true
0.7169,0.8256,0.7854,1.8094085067159598,true
0.3467,0.6719,0.0199,8.671137658463456,false
0.6455,0.009,0.8695,53.9468876223415,false
0.9023,0.9155,0.9705,1.8148448827228365,false
0.822,0.9113,0.8124,8.356168427787704,false
0.3633,0.1585,0.3282,12.922887963980763,true
0.2978,0.6801,0.8088,6.468860678247199,false
0.5685,0.91,0.358,17.478997197191024,false
0.3823,0.7279,0.7701,24.60623829456579,true
0.1411,0.44,0.6313,12.80710378266303,false
0.7884,0.8139,0.5007,10.957235343292794,true
0.4476,0.6922,0.3032,3.959033777841203,true
0.8576,0.6324,0.7574,16.52707590606266,true
0.7533,0.3623,0.6336,4.208052703697845,false
0.5979,0.6957,0.5163,25.971505636872877,true
0.0965,0.9323,0.9014,19.589623249595995,false
0.9562,0.2397,0.8613,18.06542697855405,false
0.5017,0.9622,0.0075,16.232249933762496,true
0.7345,0.645,0.3151,3.0252689602207656,true
0.3477,0.5623,0.3782,9.602274524060084,false
0.3482,0.8965,0.3534,3.9157230519927215,true
0.3276,0.9312,0.6202,1.571451948577649,true
0.3934,0.4446,0.8402,3.728477599232907,true
0.7106,0.5581,0.0268,1.8275933645319702,true
0.9194,0.9227,0.3278,1.2995265424293818,true
0.2242,0.3376,0.5082,3.5822819014589853,true
0.6212,0.0103,0.7088,11.822446851646363,false
0.4801,0.3128,0.6935,1.1073834717279334,true
0.2428,0.7148,0.9509,7.814648615228936,true
0.8007,0.0845,0.2376,20.511793224939044,true
0.3992,0.7304,0.476,49.20523400226797,false
0.612,0.7552,0.7965,37.75054829649427,false
0.7031,0.9657,0.0606,5.947672698905182,true
0.3691,0.4795,0.9698,4.051146793802116,false
0.8201,0.8768,0.3368,12.832743621520605,true
0.6412,0.0501,0.6756,12.243558965801025,false
0.9983,0.8576,0.1286,21.26367036864598,true
0.9839,0.5349,0.9443,1.2840254166877414,true
0.5465,0.2569,0.3515,4.627422418458674,true
0.3453,0.9973,0.1238,3.7999959464192696,true
0.034,0.9889,0.1923,3.578701410101579,true
0.6417,0.858,0.4009,7.0006289848698255,true
0.5352,0.304,0.5602,5.238315619512605,true
0.3393,0.5151,0.4045,3.2511214553316226,true
0.6793,0.6392,0.7211,1.2956338048280485,true
0.412,0.3273,0.9373,7.337513316443033,true
0.8325,0.9594,0.8205,1.0222437844704382,true
0.9899,0.2729,0.7538,5.424902896480163,true
0.4185,0.9366,0.2624,1.8570700429587728,true
0.2565,0.5801,0.1712,10.935342772474547,true
0.9877,0.8107,0.6305,1.9078939696124533,true
0.0716,0.4114,0.2496,22.737146574588383,true
0.5239,0.0661,0.41,1.2044222603776298,true
0.7152,0.3116,0.1416,19.96538451931715,false
0.1478,0.8022,0.0087,10.935342772474547,false
0.5149,0.6996,0.4754,12.858434791369769,true
0.516,0.875,0.5829,2.59607321123889,true
0.9934,0.4521,0.1443,18.72763049667292,true
0.0612,0.5488,0.9312,33.919836813860556,true
0.8131,0.5406,0.4703,21.84561030532294,true
0.9416,0.6546,0.8159,1.2995265424293818,true
0.4748,0.55,0.6379,2.457144737437517,false
0.2295,0.1298,0.1512,2.2056009247477304,true
0.8917,0.3698,0.7608,2.718281828459045,true
0.601,0.8085,0.2152,1.3444701568320527,true
0.3996,0.5339,0.1059,6.780155250540838,true
0.2243,0.2924,0.9977,1.571451948577649,true
0.4958,0.0229,0.0304,1.3552690560896716,true
0.4319,0.9511,0.5626,29.69563306056092,true
0.2404,0.6576,0.7591,19.067780007220765,true
0.8625,0.1021,0.0944,1.8459609832074333,true
0.8964,0.3786,0.5482,4.79224985749702,true
0.331,0.3292,0.0701,2.6326738428088614,true
0.9325,0.4337,0.1721,2.1022327621864507,true
0.6183,0.4716,0.5203,1.6487212707001282,true
0.5608,0.6404,0.2291,13.10508076930768,true
